Length,L,M,S,P3,P15,P50,P85,P97
45,-3.833,2.4607,9.029,2.1,2.2,2.5,2.7,2.9
45.5,-3.833,2.5457,9.033,2.2,2.3,2.5,2.8,3
46,-3.833,2.6306,9.037,2.2,2.4,2.6,2.9,3.1
46.5,-3.833,2.7155,904,2.3,2.5,2.7,3,3.2
47,-3.833,2.8007,9.044,2.4,2.6,2.8,3.1,3.3
47.5,-3.833,2.8867,9.048,2.4,2.6,2.9,3.2,3.4
48,-3.833,2.9741,9.052,2.5,2.7,3,3.3,3.5
48.5,-3.833,3.0636,9.056,2.6,2.8,3.1,3.4,3.7
49,-3.833,3.156,906,2.7,2.9,3.2,3.5,3.8
49.5,-3.833,3.252,9.064,2.8,3,3.3,3.6,3.9
50,-3.833,3.3518,9.068,2.8,3.1,3.4,3.7,4
50.5,-3.833,3.4557,9.072,2.9,3.2,3.5,3.8,4.1
51,-3.833,3.5636,9.076,3,3.2,3.6,3.9,4.3
51.5,-3.833,3.6754,908,3.1,3.4,3.7,4,4.4
52,-3.833,3.7911,9.085,3.2,3.5,3.8,4.2,4.5
52.5,-3.833,3.9105,9.089,3.3,3.6,3.9,4.3,4.7
53,-3.833,4.0332,9.093,3.4,3.7,4,4.4,4.8
53.5,-3.833,4.1591,9.098,3.5,3.8,4.2,4.6,5
54,-3.833,4.2875,9.102,3.6,3.9,4.3,4.7,5.1
54.5,-3.833,4.4179,9.106,3.7,4,4.4,4.9,5.3
55,-3.833,4.5498,911,3.9,4.1,4.5,5,5.4
55.5,-3.833,4.6827,9.114,4,4.3,4.7,5.2,5.6
56,-3.833,4.8162,9.118,4.1,4.4,4.8,5.3,5.8
56.5,-3.833,4.95,9.121,4.2,4.5,5,5.5,5.9
57,-3.833,5.0837,9.125,4.3,4.6,5.1,5.6,6.1
57.5,-3.833,5.2173,9.128,4.4,4.8,5.2,5.7,6.2
58,-3.833,5.3507,913,4.5,4.9,5.4,5.9,6.4
58.5,-3.833,5.4834,9.132,4.6,5,5.5,6,6.5
59,-3.833,5.6151,9.134,4.8,5.1,5.6,6.2,6.7
59.5,-3.833,5.7454,9.135,4.9,5.2,5.7,6.3,6.9
60,-3.833,5.8742,9.136,5,5.4,5.9,6.5,7
60.5,-3.833,6.2014,9.137,5.1,5.5,6,6.6,7.2
61,-3.833,6.127,9.137,5.2,5.6,6.1,6.7,7.3
61.5,-3.833,6.2511,9.136,5.3,5.7,6.3,6.9,7.5
62,-3.833,6.3738,9.135,5.4,5.8,6.4,7,7.6
62.5,-3.833,6.4948,9.133,5.5,5.9,6.5,7.2,7.8
63,-3.833,6.6144,9.131,5.6,6,6.6,7.3,7.9
63.5,-3.833,6.7328,9.129,5.7,6.1,6.7,7.4,8
64,-3.833,6.8501,9.126,5.8,6.2,6.9,7.5,8.2
64.5,-3.833,6.9662,9.123,5.9,6.3,7,7.7,8.3
65,-3.833,7.0812,9.119,6,6.5,7.1,7.8,8.5
65.5,-3.833,7.195,9.115,6.1,6.6,7.2,7.9,8.6
66,-3.833,7.3076,911,6.2,6.7,7.3,8,8.7
66.5,-3.833,7.4189,9.106,6.3,6.8,7.4,8.2,8.9
67,-3.833,7.5288,9.101,6.4,6.9,7.5,8.3,9
67.5,-3.833,7.6375,9.096,6.5,7,7.6,8.4,9.1
68,-3.833,7.7448,909,6.6,7.1,7.7,8.5,9.2
68.5,-3.833,7.8509,9.085,6.7,7.2,7.9,8.6,9.4
69,-3.833,7.9559,9.079,6.7,7.3,8,8.8,9.5
69.5,-3.833,8.0599,9.074,6.8,7.3,8.1,8.9,9.6
70,-3.833,8.163,9.068,6.9,7.4,8.2,9,9.7
70.5,-3.833,8.2651,9.062,7,7.5,8.3,9.1,9.9
71,-3.833,8.3666,9.056,7.1,7.6,8.4,9.2,10
71.5,-3.833,8.4676,905,7.2,7.7,8.5,9.3,10.1
72,-3.833,8.5679,9.043,7.3,7.8,8.6,9.4,10.2
72.5,-3.833,8.6674,9.037,7.4,7.9,8.7,9.5,10.3
73,-3.833,8.7661,9.031,7.4,8,8.8,9.6,10.4
73.5,-3.833,8.8638,9.025,7.5,8.1,8.9,9.7,10.6
74,-3.833,8.9601,9.018,7.6,8.2,9,9.9,10.7
74.5,-3.833,9.0552,9.012,7.7,8.3,9.1,10,10.8
75,-3.833,9.149,9.005,7.8,8.3,9.1,10.1,10.9
75.5,-3.833,9.2418,8.999,7.8,8.4,9.2,10.2,11
76,-3.833,9.3337,8.992,7.9,8.5,9.3,10.3,11.1
76.5,-3.833,9.4252,8.985,8,8.6,9.4,10.4,11.2
77,-3.833,9.5166,8.979,8.1,8.7,9.5,10.5,11.3
77.5,-3.833,9.6086,8.972,8.2,8.8,9.6,10.6,11.4
78,-3.833,9.7015,8.965,8.2,8.9,9.7,10.7,11.5
78.5,-3.833,9.7957,8.959,8.3,8.9,9.8,10.8,11.7
79,-3.833,9.8915,8.952,8.4,9,9.9,10.9,11.8
79.5,-3.833,9.9892,8.946,8.5,9.1,10,11,11.9
80,-3.833,10.0891,894,8.6,9.2,10.1,11.1,12
80.5,-3.833,10.1916,8.934,8.7,9.3,10.2,11.2,12.1
81,-3.833,10.2965,8.928,8.8,9.4,10.3,11.3,12.2
81.5,-3.833,10.4041,8.923,8.8,9.5,10.4,11.4,12.4
82,-3.833,10.514,8.918,8.9,9.6,10.5,11.6,12.5
82.5,-3.833,10.6263,8.914,9,9.7,10.6,11.7,12.6
83,-3.833,10.741,891,9.1,9.8,10.7,11.8,12.8
83.5,-3.833,10.8578,8.906,9.2,9.9,10.9,11.9,12.9
84,-3.833,10.9767,8.903,9.3,10,11,12.1,13.1
84.5,-3.833,11.0974,89,9.4,10.1,11.1,12.2,13.2
85,-3.833,11.2198,8.898,9.5,10.2,11.2,12.3,13.3
85.5,-3.833,11.3435,8.897,9.6,10.4,11.3,12.5,13.5
86,-3.833,11.4684,8.895,9.8,10.5,11.5,12.6,13.6
86.5,-3.833,11.594,8.895,9.9,10.6,11.6,12.7,13.8
87,-3.833,11.7201,8.895,10,10.7,11.7,12.9,13.9
87.5,-3.833,11.8461,8.895,10.1,10.8,11.8,13,14.1
88,-3.833,11.972,8.896,10.2,10.9,12,13.2,14.2
88.5,-3.833,12.0976,8.898,10.3,11,12.1,13.3,14.4
89,-3.833,12.2229,89,10.4,11.2,12.2,13.4,14.5
89.5,-3.833,12.3477,8.903,10.5,11.3,12.3,13.6,14.7
90,-3.833,12.4723,8.906,10.6,11.4,12.5,13.7,14.8
90.5,-3.833,12.5965,8.909,10.7,11.5,12.6,13.8,15
91,-3.833,12.7205,8.913,10.8,11.6,12.7,14,15.1
91.5,-3.833,12.8443,8.918,10.9,11.7,12.8,14.1,15.3
92,-3.833,12.9681,8.923,11,11.8,13,14.2,15.4
92.5,-3.833,13.092,8.928,11.1,12,13.1,14.4,15.6
93,-3.833,132.158,8.934,11.2,12.1,13.2,14.5,15.7
93.5,-3.833,133.399,8.941,11.3,12.2,13.3,14.7,15.9
94,-3.833,134.643,8.948,11.4,12.3,13.5,14.8,16
94.5,-3.833,135.892,8.955,11.5,12.4,13.6,14.9,16.2
95,-3.833,137.146,8.963,11.6,12.5,13.7,15.1,16.3
95.5,-3.833,138.408,8.972,11.8,12.6,13.8,15.2,16.5
96,-3.833,139.676,8.981,11.9,12.7,14,15.4,16.6
96.5,-3.833,140.953,899,12,12.9,14.1,15.5,16.8
97,-3.833,142.239,0.09,12.1,13,14.2,15.6,16.9
97.5,-3.833,143.537,901,12.2,13.1,14.4,15.8,17.1
98,-3.833,144.848,9.021,12.3,13.2,14.5,15.9,17.3
98.5,-3.833,146.174,9.033,12.4,13.3,14.6,16.1,17.4
99,-3.833,147.519,9.044,12.5,13.5,14.8,16.2,17.6
99.5,-3.833,148.882,9.057,12.6,13.6,14.9,16.4,17.8
100,-3.833,150.267,9.069,12.7,13.7,15,16.5,17.9
100.5,-3.833,151.676,9.083,12.9,13.8,15.2,16.7,18.1
101,-3.833,153.108,9.096,13,14,15.3,16.9,18.3
101.5,-3.833,154.564,911,13.1,14.1,15.5,17,18.5
102,-3.833,156.046,9.125,13.2,14.2,15.6,17.2,18.6
102.5,-3.833,157.553,9.139,13.3,14.4,15.8,17.4,18.8
103,-3.833,159.087,9.155,13.5,14.5,15.9,17.5,19
103.5,-3.833,160.645,917,13.6,14.6,16.1,17.7,19.2
104,-3.833,162.229,9.186,13.7,14.8,16.2,17.9,19.4
104.5,-3.833,163.837,9.203,13.9,14.9,16.4,18.1,19.6
105,-3.833,16.547,9.219,14,15.1,16.5,18.2,19.8
105.5,-3.833,167.129,9.236,14.1,15.2,16.7,18.4,20
106,-3.833,168.814,9.254,14.3,15.4,16.9,18.6,20.2
106.5,-3.833,170.527,9.271,14.4,15.5,17.1,18.8,20.4
107,-3.833,172.269,9.289,14.5,15.7,17.2,19,20.6
107.5,-3.833,174.039,9.307,14.7,15.8,17.4,19.2,20.9
108,-3.833,175.839,9.326,14.8,16,17.6,19.4,21.1
108.5,-3.833,177.668,9.344,15,16.2,17.8,19.6,21.3
109,-3.833,179.526,9.363,15.1,16.3,18,19.8,21.5
109.5,-3.833,181.412,9.382,15.3,16.5,18.1,20,21.8
110,-3.833,183.324,9.401,15.4,16.7,18.3,20.2,22
